group_id,group_name,group_level,dataframe,indicator_id,mean,std,min,max,n_observations,n_experiments,system,product_mix,automation_degree,division_type,num_stations,system_type,automation_level,mean_normalized
G03,By Automation Degree,0.71,df_process,IND01,0.08,0.1,0.0,3.87,2555.0,4,,,0.71,,,,,
G03,By Automation Degree,0.71,df_resource,IND02,32.52,16.65,12.38,71.5,17.0,4,,,0.71,,,,,
G03,By Automation Degree,0.71,df_process,IND03,10.0,12.83,0.11,510.18,2555.0,4,,,0.71,,,,,
G03,By Automation Degree,0.71,df_product,IND04,1295.37,1452.81,238.0,5928.0,160.0,4,,,0.71,,,,,
G03,By Automation Degree,0.71,df_process,IND05,2013.06,1472.78,365.0,4870.0,2555.0,4,,,0.71,,,,,
G03,By Automation Degree,0.71,df_process,IND06,78.39,86.03,2.44,280.4,2555.0,4,,,0.71,,,,,
G03,By Automation Degree,0.72,df_process,IND01,0.08,0.04,0.0,0.2,1520.0,4,,,0.72,,,,,
G03,By Automation Degree,0.72,df_resource,IND02,20.48,11.53,2.81,42.0,17.0,4,,,0.72,,,,,
G03,By Automation Degree,0.72,df_process,IND03,10.58,5.74,0.11,25.85,1520.0,4,,,0.72,,,,,
G03,By Automation Degree,0.72,df_product,IND04,338.17,115.13,144.0,631.0,160.0,4,,,0.72,,,,,
G03,By Automation Degree,0.72,df_process,IND05,1897.92,1672.58,0.0,9565.0,1520.0,4,,,0.72,,,,,
G03,By Automation Degree,0.72,df_process,IND06,68.66,83.85,0.0,336.0,1520.0,4,,,0.72,,,,,
G03,By Automation Degree,0.75,df_process,IND01,0.08,0.04,0.0,0.13,1520.0,4,,,0.75,,,,,
G03,By Automation Degree,0.75,df_resource,IND02,19.62,11.9,1.95,41.07,17.0,4,,,0.75,,,,,
G03,By Automation Degree,0.75,df_process,IND03,10.14,5.0,0.11,17.82,1520.0,4,,,0.75,,,,,
G03,By Automation Degree,0.75,df_product,IND04,335.28,111.38,144.0,613.0,160.0,4,,,0.75,,,,,
G03,By Automation Degree,0.75,df_process,IND05,1897.92,1672.58,0.0,9565.0,1520.0,4,,,0.75,,,,,
G03,By Automation Degree,0.75,df_process,IND06,68.66,83.85,0.0,336.0,1520.0,4,,,0.75,,,,,
G03,By Automation Degree,0.83,df_process,IND01,0.08,0.04,0.0,0.17,2720.0,8,,,0.83,,,,,
G03,By Automation Degree,0.83,df_resource,IND02,20.08,10.07,6.19,39.52,32.0,8,,,0.83,,,,,
G03,By Automation Degree,0.83,df_process,IND03,10.92,5.2,0.11,22.88,2720.0,8,,,0.83,,,,,
G03,By Automation Degree,0.83,df_product,IND04,325.98,103.62,168.0,604.0,320.0,8,,,0.83,,,,,
G03,By Automation Degree,0.83,df_process,IND05,2084.88,2117.42,365.0,9565.0,2720.0,8,,,0.83,,,,,
G03,By Automation Degree,0.83,df_process,IND06,74.57,96.94,2.44,336.0,2720.0,8,,,0.83,,,,,
G05,By Division Type,labor,df_process,IND01,0.09,0.1,0.0,3.93,20850.0,48,,,,labor,,,,0.53
G05,By Division Type,labor,df_resource,IND02,28.63,19.82,1.95,85.95,184.0,48,,,,labor,,,,0.34
G05,By Division Type,labor,df_process,IND03,11.67,13.67,0.11,518.98,20850.0,48,,,,labor,,,,0.51
G05,By Division Type,labor,df_product,IND04,858.47,1086.02,144.0,7404.0,1920.0,48,,,,labor,,,,0.18
G05,By Division Type,labor,df_process,IND05,1977.36,1652.69,0.0,9565.0,20850.0,48,,,,labor,,,,0.47
G05,By Division Type,labor,df_process,IND06,73.97,86.39,0.0,336.0,20850.0,48,,,,labor,,,,0.53
G05,By Division Type,quantity,df_process,IND01,0.09,0.05,0.0,0.2,21000.0,48,,,,quantity,,,,0.44
G05,By Division Type,quantity,df_resource,IND02,23.83,8.93,8.45,46.0,216.0,48,,,,quantity,,,,0.22
G05,By Division Type,quantity,df_process,IND03,11.32,6.88,0.11,25.85,21000.0,48,,,,quantity,,,,0.43
G05,By Division Type,quantity,df_product,IND04,312.38,96.68,144.0,645.0,1920.0,48,,,,quantity,,,,0.01
G05,By Division Type,quantity,df_process,IND05,1971.57,1650.89,0.0,9565.0,21000.0,48,,,,quantity,,,,0.44
G05,By Division Type,quantity,df_process,IND06,73.75,86.29,0.0,336.0,21000.0,48,,,,quantity,,,,0.51
G06,By Number of Stations,3.0,df_process,IND01,0.09,0.1,0.0,2.43,10417.0,24,,,,,3.0,,,0.54
G06,By Number of Stations,3.0,df_resource,IND02,36.69,21.94,3.1,85.95,72.0,24,,,,,3.0,,,0.56
G06,By Number of Stations,3.0,df_process,IND03,11.72,13.09,0.11,320.98,10417.0,24,,,,,3.0,,,0.52
G06,By Number of Stations,3.0,df_product,IND04,746.83,753.83,144.0,4735.0,960.0,24,,,,,3.0,,,0.15
G06,By Number of Stations,3.0,df_process,IND05,1976.25,1651.48,0.0,9565.0,10417.0,24,,,,,3.0,,,0.46
G06,By Number of Stations,3.0,df_process,IND06,73.91,86.33,0.0,336.0,10417.0,24,,,,,3.0,,,0.52
G06,By Number of Stations,4.0,df_process,IND01,0.09,0.05,0.0,0.2,10500.0,24,,,,,4.0,,,0.44
G06,By Number of Stations,4.0,df_resource,IND02,26.81,7.67,16.62,46.0,96.0,24,,,,,4.0,,,0.29
G06,By Number of Stations,4.0,df_process,IND03,11.32,6.88,0.11,25.85,10500.0,24,,,,,4.0,,,0.43
G06,By Number of Stations,4.0,df_product,IND04,314.14,99.11,147.0,645.0,960.0,24,,,,,4.0,,,0.01
G06,By Number of Stations,4.0,df_process,IND05,1971.57,1650.93,0.0,9565.0,10500.0,24,,,,,4.0,,,0.44
G06,By Number of Stations,4.0,df_process,IND06,73.75,86.29,0.0,336.0,10500.0,24,,,,,4.0,,,0.51
G06,By Number of Stations,5.0,df_process,IND01,0.09,0.08,0.0,3.93,20933.0,48,,,,,5.0,,,0.48
G06,By Number of Stations,5.0,df_resource,IND02,22.42,13.21,1.95,79.52,232.0,48,,,,,5.0,,,0.18
G06,By Number of Stations,5.0,df_process,IND03,11.48,11.16,0.11,518.98,20933.0,48,,,,,5.0,,,0.47
G06,By Number of Stations,5.0,df_product,IND04,640.36,998.11,144.0,7404.0,1920.0,48,,,,,5.0,,,0.12
G06,By Number of Stations,5.0,df_process,IND05,1975.0,1652.41,0.0,9565.0,20933.0,48,,,,,5.0,,,0.46
G06,By Number of Stations,5.0,df_process,IND06,73.89,86.37,0.0,336.0,20933.0,48,,,,,5.0,,,0.52
G11,Product_Mix_x_System,balanced_system_01,df_process,IND01,0.09,0.1,0.0,2.39,1640.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_resource,IND02,34.07,19.18,6.98,55.81,12.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_process,IND03,11.52,12.53,0.11,315.15,1640.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_product,IND04,532.15,388.46,144.0,1818.0,160.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_process,IND05,1987.68,1717.74,0.0,9565.0,1640.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_process,IND06,74.0,87.53,0.0,336.0,1640.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_experiments,economic_score,0.35,0.0,0.34,0.35,4.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_experiments,environmental_score,0.17,0.02,0.14,0.19,4.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_experiments,rank,18.0,1.0,17.0,19.0,3.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_experiments,rank_all,26.25,3.5,22.0,30.0,4.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_experiments,total_weighted_score,0.51,0.02,0.49,0.53,4.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_process,IND01,0.08,0.05,0.0,0.2,1640.0,4,system_02,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_resource,IND02,24.75,4.5,17.57,33.86,16.0,4,system_02,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_process,IND03,11.16,6.66,0.11,25.85,1640.0,4,system_02,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_product,IND04,297.46,82.85,150.0,476.0,160.0,4,system_02,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_process,IND05,1987.68,1717.74,0.0,9565.0,1640.0,4,system_02,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_process,IND06,74.0,87.53,0.0,336.0,1640.0,4,system_02,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_experiments,economic_score,0.31,0.0,0.31,0.31,4.0,4,system_02,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_experiments,environmental_score,0.17,0.02,0.15,0.19,4.0,4,system_02,balanced,,,,,,
