exp_id,system,step_id,components,product_mix,automation_level,product_type,n_components,total_electricity,total_circularity,total_profit,total_revenue,total_cost,mean_electricity,mean_circularity,mean_profit,mean_revenue,mean_cost
exp013,system_02,5_1_1,"FAX, SSA",balanced,a00,car_hd,30,3.6,496.2,19704.9,20340,635.1,0.12,16.54,656.83,678.0,21.17
exp013,system_02,5_2_1,CHS,balanced,a00,car_hd,10,1.7,2316.0,48397.7,48700,302.3,0.17,231.6,4839.77,4870.0,30.23
exp013,system_02,5_2_2,"BSA, RAX_HD",balanced,a00,car_hd,30,2.8,909.0,26478.7,26960,481.3,0.09,30.3,882.62,898.67,16.04
exp013,system_02,1,BOSP,balanced,a00,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp013,system_02,2,RT,balanced,a00,car_rd,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp013,system_02,3,CORE,balanced,a00,car_rd,10,1.7,3360.0,95347.7,95650,302.3,0.17,336.0,9534.77,9565.0,30.23
exp013,system_02,4,"BSA, RAX_RD",balanced,a00,car_rd,30,2.8,2899.8,61258.7,61740,481.3,0.09,96.66,2041.96,2058.0,16.04
exp013,system_02,1,RT,balanced,a00,car_sa,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp013,system_02,2,FT,balanced,a00,car_sa,20,2.0,1082.0,41376.6,41740,363.4,0.1,54.1,2068.83,2087.0,18.17
exp013,system_02,3,SSA,balanced,a00,car_sa,20,3.6,48.8,6666.4,7300,633.6,0.18,2.44,333.32,365.0,31.68
exp013,system_02,4,"BSA, CSEB-NABS",balanced,a00,car_sa,30,2.8,1866.0,41778.7,42260,481.3,0.09,62.2,1392.62,1408.67,16.04
exp013,system_02,1,BOSP,balanced,a00,car_tl,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp013,system_02,2,BAT,balanced,a00,car_tl,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp013,system_02,3,RT,balanced,a00,car_tl,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp013,system_02,4,"CRE, FT",balanced,a00,car_tl,30,2.0,1082.0,41375.1,41740,364.9,0.07,36.07,1379.17,1391.33,12.16
exp014,system_02,1,BOSP,balanced,a02,car_hd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
